Go sort: 3.4633264541625977, 3.4868505001068115, 3.490739583969116, 3.4628374576568604, 3.481605052947998, 3.478762626647949, 3.47245192527771, 3.491971254348755, 3.4682867527008057, 3.4844348430633545, 3.477184534072876, 3.471963882446289, 3.4650657176971436, 3.475266933441162, 3.4696290493011475, 3.4777817726135254, 3.465458393096924, 3.4814951419830322, 3.4795875549316406, 3.4775774478912354
Rust sort: 4.237040996551514, 4.236999988555908, 4.235698223114014, 4.246505260467529, 4.221071720123291, 4.249876499176025, 4.2130491733551025, 4.244811773300171, 4.224867343902588, 4.245284557342529, 4.22198224067688, 4.2374043464660645, 4.243238210678101, 4.2432777881622314, 4.243149757385254, 4.233980417251587, 4.254275321960449, 4.229051351547241, 4.23900032043457, 4.239626169204712
Zig sort: 2.3519985675811768, 2.3503758907318115, 2.3502867221832275, 2.3677806854248047, 2.343287229537964, 2.3473241329193115, 2.3439579010009766, 2.3418431282043457, 2.3315045833587646, 2.361201047897339, 2.3212637901306152, 2.348055601119995, 2.3330001831054688, 2.3529999256134033, 2.3610012531280518, 2.3379993438720703, 2.348663568496704, 2.3322551250457764, 2.3630003929138184, 2.332000255584717


Go blur seq: 0.07639837265014648, 0.07061982154846191, 0.06978106498718262, 0.07217621803283691, 0.07081365585327148, 0.07243919372558594, 0.07342076301574707, 0.0692908763885498, 0.07017302513122559, 0.07261943817138672, 0.06949949264526367, 0.07053971290588379, 0.06895279884338379, 0.07309412956237793, 0.07033920288085938, 0.07163524627685547, 0.07198119163513184, 0.06823205947875977, 0.07146978378295898, 0.07023382186889648
Rust blur seq: 0.04957914352416992, 0.04099893569946289, 0.04400038719177246, 0.041997671127319336, 0.04100179672241211, 0.041998863220214844, 0.04200100898742676, 0.03999924659729004, 0.040997982025146484, 0.0410001277923584, 0.04199934005737305, 0.0410008430480957, 0.042002201080322266, 0.04199695587158203, 0.056003570556640625, 0.042997121810913086, 0.042999982833862305, 0.0410006046295166, 0.042000532150268555, 0.0410001277923584
Zig blur seq: 0.03700089454650879, 0.03600335121154785, 0.03499650955200195, 0.03300023078918457, 0.03698849678039551, 0.03399991989135742, 0.03700113296508789, 0.03699922561645508, 0.03600025177001953, 0.034999847412109375, 0.033998966217041016, 0.03500008583068848, 0.03600001335144043, 0.03291797637939453, 0.03500533103942871, 0.036008358001708984, 0.03299999237060547, 0.03400611877441406, 0.03299760818481445, 0.03399968147277832

Go blur par: 0.03708529472351074, 0.03386282920837402, 0.037029266357421875, 0.035158634185791016, 0.03331136703491211, 0.03299832344055176, 0.034102439880371094, 0.03266406059265137, 0.03195929527282715, 0.0316615104675293, 0.032907724380493164, 0.03258323669433594, 0.03341794013977051, 0.03437066078186035, 0.0349726676940918, 0.03217148780822754, 0.032625436782836914, 0.0329594612121582, 0.03316020965576172, 0.032315731048583984
Rust blur par: 0.048995018005371094, 0.05000162124633789, 0.04900217056274414, 0.046000003814697266, 0.04799938201904297, 0.04999995231628418, 0.04600024223327637, 0.04999947547912598, 0.044999122619628906, 0.04700160026550293, 0.04999947547912598, 0.048998117446899414, 0.051000356674194336, 0.046000003814697266, 0.04700016975402832, 0.051003217697143555, 0.04799652099609375, 0.05099916458129883, 0.05000114440917969, 0.04699873924255371
Zig blur par: 0.4500010013580322, 0.28999876976013184, 0.3545043468475342, 0.39300036430358887, 0.28600049018859863, 0.2629992961883545, 0.3510000705718994, 0.3339996337890625, 0.29799985885620117, 0.3379991054534912, 0.2370004653930664, 0.24199986457824707, 0.2610044479370117, 0.3119931221008301, 0.34999990463256836, 0.34799957275390625, 0.3000004291534424, 0.35700178146362305, 0.30899786949157715, 0.3990006446838379
